id,Condition,phase,item_id,share,share01
5f06251156e65c16b6fc0b2b,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5eff11ea32f1ca44319deefa,Control,pre,Emotion-2-tripl,1,0.0
5dd71029c944d16b0668c95f,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5cd839206834a6000146c161,GoViral,pre,Emotion-2-tripl,6,0.8333333333333334
5e61630dda23cd065ca964eb,Control,pre,Emotion-2-tripl,1,0.0
5eff2119fe36e9459869676f,Infographics,pre,Emotion-2-tripl,4,0.5
5a7b5d25b093f80001a7849d,Control,pre,Emotion-2-tripl,1,0.0
5f11e17b4d4d4f0c0cb02273,Infographics,pre,Emotion-2-tripl,4,0.5
5c9ffacadae4e80017befac6,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5cf0e467027fc1001560c7ff,Infographics,pre,Emotion-2-tripl,1,0.0
5e68b753e203811578c0a521,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5e1363c108267598fb465041,Control,pre,Emotion-2-tripl,1,0.0
5f0874db34894f07bd04f436,Infographics,pre,Emotion-2-tripl,1,0.0
5c3ce3a6de04ad0001d8a6cc,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5eb5b9c67af9ce48d087f8a0,Control,pre,Emotion-2-tripl,1,0.0
57eee744e62704000199d5ec,Infographics,pre,Emotion-2-tripl,1,0.0
5629f7f1c8ffc2000f5135a0,Control,pre,Emotion-2-tripl,1,0.0
5ed788a796035b21e02a6ab8,Control,pre,Emotion-2-tripl,1,0.0
5d53b230cb1bcf0017f59951,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
58bd73414cdfd90001778323,Infographics,pre,Emotion-2-tripl,1,0.0
5a3117d0715d6a0001118bfc,Control,pre,Emotion-2-tripl,1,0.0
5f797e6a2f9d0101612f19e5,Control,pre,Emotion-2-tripl,1,0.0
5aac1e34899a3b000167fd5d,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5d7f5edd19788b00010d954c,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5f775f87728936283e553478,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5f26e3d6f3b6ba48b4335af1,Infographics,pre,Emotion-2-tripl,1,0.0
5d41d708128a05000183c461,Infographics,pre,Emotion-2-tripl,1,0.0
5ee11021ccca624c3a3e3e32,GoViral,pre,Emotion-2-tripl,1,0.0
5f04c825997cb913000de405,Infographics,pre,Emotion-2-tripl,1,0.0
5ef782379636b209e0ebfbb6,Control,pre,Emotion-2-tripl,1,0.0
5f6a309c9fbd7a0a1a014543,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5f589a92ce1c040113809f03,GoViral,pre,Emotion-2-tripl,1,0.0
5a6b98b03fb6420001c2f950,Infographics,pre,Emotion-2-tripl,1,0.0
5d8154a847a45600189e8f35,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5f08a10bdab7e60d62d38917,Control,pre,Emotion-2-tripl,1,0.0
5f11f88fd3472810262c21c5,Infographics,pre,Emotion-2-tripl,4,0.5
5ded5559033565416fe02a77,Infographics,pre,Emotion-2-tripl,1,0.0
5d9b6d6424a6e302ae56c844,Infographics,pre,Emotion-2-tripl,1,0.0
5d53e2d15b17d500168df632,Control,pre,Emotion-2-tripl,1,0.0
5afdfb3a4256e90001d5c1db,Infographics,pre,Emotion-2-tripl,1,0.0
5cf9629a395fa60019ba4d37,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5f5630fd57f429000ad2ee9f,GoViral,pre,Emotion-2-tripl,1,0.0
5aad21134ea21d000101bbff,Infographics,pre,Emotion-2-tripl,1,0.0
57a77b4a8eccbc0001f39fc2,Infographics,pre,Emotion-2-tripl,1,0.0
5d5d85c04a18130019c7cd66,Control,pre,Emotion-2-tripl,1,0.0
58db6e4182b20f0001b9b745,Control,pre,Emotion-2-tripl,1,0.0
5bf412a4e836680001bcaf14,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5d384994b394a40017f17f2e,Control,pre,Emotion-2-tripl,1,0.0
5fa2b0b5a0ba5e4c859ec520,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5f31a6fcd1c79309b33d8c74,Infographics,pre,Emotion-2-tripl,1,0.0
5dee11c6d35cc34acae7c301,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5ca7050c6fa13f00199cc2d4,Infographics,pre,Emotion-2-tripl,1,0.0
5ccdd1c2c6b4e3000168bd47,Infographics,pre,Emotion-2-tripl,1,0.0
5c927effc719fc00157df08d,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5601379877f33b0010cb2b98,Infographics,pre,Emotion-2-tripl,1,0.0
5d6e5070a98e330019be0e0f,Control,pre,Emotion-2-tripl,5,0.6666666666666666
5a86b089aa46dd00016bb064,Infographics,pre,Emotion-2-tripl,4,0.5
5af573e7b4dfd600018fc0be,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5f902745b1e8580748cc69e3,GoViral,pre,Emotion-2-tripl,1,0.0
5ee91869ec57d2169fca4494,Infographics,pre,Emotion-2-tripl,1,0.0
5eb411c4b0526d222fbb4395,Control,pre,Emotion-2-tripl,5,0.6666666666666666
5e8d8435bfdc8700083fb7ba,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
54dfac92fdf99b4b6b6595d9,Control,pre,Emotion-2-tripl,1,0.0
5d4b16d75b4ba90019b9faf4,Infographics,pre,Emotion-2-tripl,1,0.0
5ec033fa9264f843d4ec78ad,GoViral,pre,Emotion-2-tripl,1,0.0
5da8d462cb29f000133c86a6,Infographics,pre,Emotion-2-tripl,5,0.6666666666666666
5f313e98c379945df7d5203f,GoViral,pre,Emotion-2-tripl,1,0.0
5f833cbefb3ac80bfbc4906d,GoViral,pre,Emotion-2-tripl,1,0.0
54b9acd9fdf99b34ce2578f9,Control,pre,Emotion-2-tripl,1,0.0
5f99a6ab7898ee02b10035a7,Control,pre,Emotion-2-tripl,1,0.0
5f47cbd14528571fbc5635b9,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5c27c724867f660001ae6785,Infographics,pre,Emotion-2-tripl,4,0.5
5f68ba7dc77c8002cf3c00fb,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5dbf01c4baf28d3aa2d69e43,Control,pre,Emotion-2-tripl,1,0.0
5d24dfa45bb1fe001897995b,Infographics,pre,Emotion-2-tripl,1,0.0
5eaa090c5ffd36175c0f077a,Infographics,pre,Emotion-2-tripl,1,0.0
5ee5f64bf796cb33dab57648,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5f0c1a707e7006024f0a5315,Infographics,pre,Emotion-2-tripl,1,0.0
5d5ef53ea55e6a0016d2cae4,Control,pre,Emotion-2-tripl,6,0.8333333333333334
591ddde14f577a0001755f5a,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f147c831589684ed6fd4cb8,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5c8419c4d0a93a0016755140,GoViral,pre,Emotion-2-tripl,1,0.0
5f845de0d84e1708b2840afc,Control,pre,Emotion-2-tripl,1,0.0
565f1784e14ebc0006c5f89d,Control,pre,Emotion-2-tripl,1,0.0
5ed115faa41e260201dbac41,GoViral,pre,Emotion-2-tripl,1,0.0
5e3d33b27525e7117bd31778,GoViral,pre,Emotion-2-tripl,1,0.0
5f2bd9ec276ec469beea63df,Infographics,pre,Emotion-2-tripl,4,0.5
5dcc21c0a913958c073a4041,Control,pre,Emotion-2-tripl,4,0.5
5eaba058fb863f187c27073a,Control,pre,Emotion-2-tripl,1,0.0
5eea92c6bc56df11a183027d,Infographics,pre,Emotion-2-tripl,1,0.0
5cbb3393114fa50001ac523f,Control,pre,Emotion-2-tripl,1,0.0
5e5aa39b15b8d429d07abfd4,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5e32e0de688cae29eaf66112,Control,pre,Emotion-2-tripl,1,0.0
5953acc10dd7710001aec19e,GoViral,pre,Emotion-2-tripl,1,0.0
58d5020687b2420001263bbc,GoViral,pre,Emotion-2-tripl,1,0.0
5eea503f41d2fd1187d29d32,Infographics,pre,Emotion-2-tripl,1,0.0
5b731044b9daa700013fb269,Control,pre,Emotion-2-tripl,1,0.0
5eff3f91e8a2850a5d017f9c,GoViral,pre,Emotion-2-tripl,6,0.8333333333333334
5edbdf58d53ee7082aa6d4f7,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5be92cf1ba2782000117743e,Infographics,pre,Emotion-2-tripl,1,0.0
5f1ec05b39c51401c9816f75,GoViral,pre,Emotion-2-tripl,1,0.0
5ea84f546a3129266b849ed0,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5d24df75a80a600019d97b2e,Control,pre,Emotion-2-tripl,1,0.0
5ab688d1e1546900019b5f63,GoViral,pre,Emotion-2-tripl,1,0.0
5ec77ee57951951cf18868d6,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5f9a1c1cf7de190afe67f315,Control,pre,Emotion-2-tripl,1,0.0
5e6645daaf3bd53bfad40b9f,Infographics,pre,Emotion-2-tripl,5,0.6666666666666666
5f293da15518a403737b98a8,Infographics,pre,Emotion-2-tripl,1,0.0
5d826545e3ab4b00183cd4e5,Control,pre,Emotion-2-tripl,1,0.0
5991efc7b83f800001a5e431,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
59a9a1c32ab6b80001a7df75,GoViral,pre,Emotion-2-tripl,5,0.6666666666666666
5b015b8fb98c410001ad71ec,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5ad8dbe2e34a050001b83eac,Infographics,pre,Emotion-2-tripl,1,0.0
5eba9c85d1130507bd1a6219,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
